127.0.0.1 - - [02/Sep/2021:19:11:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Sep/2021:19:12:04 +0530] "GET /Online_Shopping_Project/login.jsp HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [02/Sep/2021:19:16:10 +0530] "GET /Online_Shopping_Project/login.jsp HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [02/Sep/2021:19:16:13 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Sep/2021:19:16:46 +0530] "POST /Online_Shopping_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:19:16:49 +0530] "GET /Online_Shopping_Project/admin/adminHome.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [02/Sep/2021:19:17:16 +0530] "GET /Online_Shopping_Project/admin/addNewProduct.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:10:06 +0530] "GET /Online_Shopping_Project/admin/addNewProduct.jsp HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:10:12 +0530] "GET /Online_Shopping_Project/admin/addNewProduct.jsp HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:12:46 +0530] "GET /Online_Shopping_Project/admin/addNewProduct.jsp HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:12:49 +0530] "GET /Online_Shopping_Project/admin/adminHome.jsp HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:13:04 +0530] "POST /Online_Shopping_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:13:04 +0530] "GET /Online_Shopping_Project/admin/adminHome.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:13:08 +0530] "GET /Online_Shopping_Project/admin/addNewProduct.jsp HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:36:06 +0530] "GET /Online_Shopping_Project/admin/addNewProduct.jsp HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:36:27 +0530] "POST /Online_Shopping_Project/admin/addNewProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:36:27 +0530] "GET /Online_Shopping_Project/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:37:11 +0530] "GET /Online_Shopping_Project/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:38:53 +0530] "POST /Online_Shopping_Project/admin/addNewProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:38:54 +0530] "GET /Online_Shopping_Project/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:40:00 +0530] "GET /Online_Shopping_Project/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:40:29 +0530] "POST /Online_Shopping_Project/admin/addNewProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:40:29 +0530] "GET /Online_Shopping_Project/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:41:09 +0530] "POST /Online_Shopping_Project/admin/addNewProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:41:10 +0530] "POST /Online_Shopping_Project/admin/addNewProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:41:10 +0530] "GET /Online_Shopping_Project/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:43:20 +0530] "GET /Online_Shopping_Project/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:43:23 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:44:28 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:48:14 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:49:17 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 2341
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:49:20 +0530] "GET /Online_Shopping_Project/admin/addNewProduct.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:49:24 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 2341
0:0:0:0:0:0:0:1 - - [02/Sep/2021:20:59:45 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 3548
0:0:0:0:0:0:0:1 - - [02/Sep/2021:21:00:52 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 3548
0:0:0:0:0:0:0:1 - - [02/Sep/2021:21:02:35 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 3623
0:0:0:0:0:0:0:1 - - [02/Sep/2021:21:02:43 +0530] "GET /Online_Shopping_Project/admin/editProduct.jsp HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [02/Sep/2021:21:02:47 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 3623
0:0:0:0:0:0:0:1 - - [02/Sep/2021:21:02:50 +0530] "GET /Online_Shopping_Project/admin/editProduct.jsp HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [02/Sep/2021:21:04:28 +0530] "GET /Online_Shopping_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 3623
0:0:0:0:0:0:0:1 - - [02/Sep/2021:21:04:30 +0530] "GET /Online_Shopping_Project/admin/editProduct.jsp HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [02/Sep/2021:21:06:25 +0530] "GET /Online_Shopping_Project/admin/editProduct.jsp HTTP/1.1" 200 1825
