127.0.0.1 - - [08/Sep/2021:10:01:13 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Sep/2021:10:01:53 +0530] "GET /Online_Shopping_Project/login.jsp HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [08/Sep/2021:10:02:51 +0530] "GET /Online_Shopping_Project/login.jsp HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [08/Sep/2021:10:02:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Sep/2021:10:08:14 +0530] "POST /Online_Shopping_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:10:08:15 +0530] "GET /Online_Shopping_Project/home.jsp HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [08/Sep/2021:10:12:30 +0530] "GET /Online_Shopping_Project/addTocartAction.jsp?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:10:12:31 +0530] "GET /Online_Shopping_Project/home.jsp?msg=added HTTP/1.1" 200 3764
0:0:0:0:0:0:0:1 - - [08/Sep/2021:10:12:35 +0530] "GET /Online_Shopping_Project/myCart.jsp HTTP/1.1" 200 3337
0:0:0:0:0:0:0:1 - - [08/Sep/2021:10:12:37 +0530] "GET /Online_Shopping_Project/addressPaymentForOrder.jsp HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [08/Sep/2021:10:12:46 +0530] "POST /Online_Shopping_Project/addressPaymentForOrderAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:10:12:47 +0530] "GET /Online_Shopping_Project/bill.jsp HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [08/Sep/2021:10:12:55 +0530] "GET /Online_Shopping_Project/continueShopping.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:10:12:55 +0530] "GET /Online_Shopping_Project/home.jsp HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:46:35 +0530] "POST /Online_Shopping_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:46:35 +0530] "GET /Online_Shopping_Project/login.jsp?msg=notexist HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:46:44 +0530] "POST /Online_Shopping_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:46:44 +0530] "GET /Online_Shopping_Project/home.jsp HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:46:52 +0530] "GET /Online_Shopping_Project/myCart.jsp HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:46:55 +0530] "GET /Online_Shopping_Project/home.jsp HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:47:06 +0530] "GET /Online_Shopping_Project/addTocartAction.jsp?id=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:47:06 +0530] "GET /Online_Shopping_Project/home.jsp?msg=added HTTP/1.1" 200 3764
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:47:08 +0530] "GET /Online_Shopping_Project/myCart.jsp HTTP/1.1" 200 3341
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:47:17 +0530] "GET /Online_Shopping_Project/addressPaymentForOrder.jsp HTTP/1.1" 200 3624
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:47:21 +0530] "GET /Online_Shopping_Project/myCart.jsp HTTP/1.1" 200 3341
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:47:48 +0530] "GET /Online_Shopping_Project/addressPaymentForOrder.jsp HTTP/1.1" 200 3624
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:47:57 +0530] "POST /Online_Shopping_Project/addressPaymentForOrderAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:47:57 +0530] "GET /Online_Shopping_Project/bill.jsp HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:48:06 +0530] "GET /Online_Shopping_Project/continueShopping.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:48:07 +0530] "GET /Online_Shopping_Project/home.jsp HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:48:08 +0530] "GET /Online_Shopping_Project/myCart.jsp HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:48:11 +0530] "GET /Online_Shopping_Project/home.jsp HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:48:13 +0530] "GET /Online_Shopping_Project/addTocartAction.jsp?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:48:13 +0530] "GET /Online_Shopping_Project/home.jsp?msg=added HTTP/1.1" 200 3764
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:48:14 +0530] "GET /Online_Shopping_Project/myCart.jsp HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:48:15 +0530] "GET /Online_Shopping_Project/addressPaymentForOrder.jsp HTTP/1.1" 200 3616
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:48:17 +0530] "POST /Online_Shopping_Project/addressPaymentForOrderAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:48:18 +0530] "GET /Online_Shopping_Project/bill.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:50:56 +0530] "GET /Online_Shopping_Project/bill.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [08/Sep/2021:12:01:42 +0530] "GET /Online_Shopping_Project/continueShopping.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:12:01:42 +0530] "GET /Online_Shopping_Project/home.jsp HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [08/Sep/2021:12:01:44 +0530] "GET /Online_Shopping_Project/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:12:01:44 +0530] "GET /Online_Shopping_Project/login.jsp HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [08/Sep/2021:12:01:51 +0530] "POST /Online_Shopping_Project/loginAction.jsp HTTP/1.1" 302 -
